Item Code,Item Name,Profile Name,Item Type,UNIT WEIGHT,U.O.M (NAME),U.O.M (SYMBOL),BRAND,BRAND SECTOR,MANUFACTURER,Category,Sub-Category,Generic Name,Formulation,Route,Instructions,Packing Quantity,Preferred Supplier,Order Category,UNIT PURCHASE PRICE,UNIT SALE PRICE,PACK PURCHASE PRICE,PACK SALE PRICE,STATUS,REORDER POINT,UNIT LOCATION
7AS001B,Anti D Blood Group Antisera,PATHOLOGY,OTHERS,0,Pieces,Pieces,Anti D Blood Group Antisera,Anti D Blood Group Antisera,GLAXOSMITHKLINE,N/A,Lab-reagent,,,,,1,,Pathology,820,0,820,820,Active,,
7AS001C,Anti B Blood Group Antisera,PATHOLOGY,OTHERS,0,Pieces,Pieces,Anti B Blood Group Antisera,Anti B Blood Group Antisera,GLAXOSMITHKLINE,N/A,Lab-reagent,,,,,1,,Pathology,312,0,312,312,Active,,
7AS004b,Vibro cholera ogawa,PATHOLOGY,OTHERS,0,Pieces,Pieces,Vibro cholera ogawa,Vibro cholera ogawa,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,205,0,205,205,Active,,
7CMA001,Amies Transport Medium,PATHOLOGY,OTHERS,0,Pieces,Pieces,Amies Transport Medium,Amies Transport Medium,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,808,0,808,808,Active,,
7CMB002,Blood Agar Base,PATHOLOGY,OTHERS,0,Pieces,Pieces,Blood Agar Base,Blood Agar Base,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,5530,0,5530,5530,Active,,
7CMC001,Cary-Blair transport medium,PATHOLOGY,OTHERS,0,Pieces,Pieces,Cary-Blair transport medium,Cary-Blair transport medium,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,345,0,345,345,Active,,
7CMC002,Cystene Lactose Electrolyte Deficient (CLED),PATHOLOGY,OTHERS,0,Bottle,Bottle,Cystene Lactose Electrolyte Deficient (CLED),Cystene Lactose Electrolyte Deficient (CLED),SANOFI PASTEUR,N/A,Non - Specific,,,,,1,,Pathology,5775,0,5775,5775,Active,,
7CMK001,Kligler Iron Agar,PATHOLOGY,OTHERS,0,Bottle,Bottle,Kligler Iron Agar,Kligler Iron Agar,SANOFI PASTEUR,N/A,Non - Specific,,,,,1,,Pathology,6090,0,6090,6090,Active,,
7CML002,Lauryl Tryptose Broth,PATHOLOGY,OTHERS,0,Pieces,Pieces,Lauryl Tryptose Broth,Lauryl Tryptose Broth,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7CMM001,MacConkey Agar,PATHOLOGY,OTHERS,0,Bottle,Bottle,MacConkey Agar,MacConkey Agar,GLAXOSMITHKLINE,N/A,Non - Specific,,,,,1,,Pathology,5250,0,5250,5250,Active,,
7CMM003,Muller Hinton Agar (Sensitivity),PATHOLOGY,OTHERS,0,Pieces,Pieces,Muller Hinton Agar (Sensitivity),Muller Hinton Agar (Sensitivity),GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,7115,0,7115,7115,Active,,
7CMP001,Peptone water,PATHOLOGY,OTHERS,0,Pieces,Pieces,Peptone water,Peptone water,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7CMS002,Selenite F broth,PATHOLOGY,OTHERS,0,Bottle,Bottle,Selenite F broth,Selenite F broth,NJIMIA PHARMACEUTICALS,N/A,Non - Specific,,,,,1,,Pathology,3030,0,3030,3030,Active,,
7CMT001,Thiosulphate Citrate Bile Salt (TCBS),PATHOLOGY,OTHERS,0,Bottle,Bottle,Thiosulphate Citrate Bile Salt (TCBS),Thiosulphate Citrate Bile Salt (TCBS),NJIMIA PHARMACEUTICALS,N/A,Non - Specific,,,,,1,,Pathology,5250,0,5250,5250,Active,,
7CMU001,Urea agar base,PATHOLOGY,OTHERS,0,Pieces,Pieces,Urea agar base,Urea agar base,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,9,0,9,9,Active,,
7CMX001,Xylose lycene dextrose agar,PATHOLOGY,OTHERS,0,Pieces,Pieces,Xylose lycene dextrose agar,Xylose lycene dextrose agar,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,11,0,11,11,Active,,
7LC002C,Gloves Small,PATHOLOGY,OTHERS,0,Box,Box,Gloves Small,Gloves Small,SANOFI PASTEUR,N/A,Lab Consumables,,,,,1,,Pathology,370,650,370,370,Active,,
7LCA001,Alconol swabs,PATHOLOGY,OTHERS,0,Box,Box,Alconol swabs,Alconol swabs,SANOFI PASTEUR,N/A,Lab Consumables,,,,,1,,Laboratory,150,350,150,150,Active,,
7LCA002,Applicator Sticks Wooden,PATHOLOGY,OTHERS,0,Packet,Packet,Applicator Sticks Wooden,Applicator Sticks Wooden,GLAXOSMITHKLINE,N/A,Unknown,,,,,500,,Pathology,200,420,200,200,Active,,
7LCA003,Autoclave tape,PATHOLOGY,OTHERS,0,Pieces,Pieces,Autoclave tape,Autoclave tape,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,180,0,180,180,Active,,
7LCA004,Autoclaving bags,PATHOLOGY,OTHERS,0,Packet,Packet,Autoclaving bags,Autoclaving bags,GLAXOSMITHKLINE,N/A,Unknown,,,,,100,,Pathology,4000,0,4000,4000,Active,,
7LCB004,Microscope Bulbs (halog)-(6pcs),PATHOLOGY,OTHERS,0,Pieces,Pieces,Microscope Bulbs (halog)-(6pcs),Microscope Bulbs (halog)-(6pcs),NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,480,0,480,480,Active,,
7LCC001,Cotton wool 100g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Cotton wool 100g,Cotton wool 100g,NJIMIA PHARMACEUTICALS,N/A,Lab Consumables,,,,,1,,Pathology,50,0,50,50,Active,,
7LCC002,Cotton wool 400g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Cotton wool 400g,Cotton wool 400g,GLAXOSMITHKLINE,N/A,Lab Consumables,,,,,1,,Pathology,200,350,200,200,Active,,
7LCC003,Coulter diff pack,PATHOLOGY,OTHERS,0,Pieces,Pieces,Coulter diff pack,Coulter diff pack,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,10,0,10,10,Inactive,,
7LCC004,Cover slips 22x22mm,PATHOLOGY,OTHERS,,Pieces,Pieces,Cover slips 22x22mm,Cover slips 22x22mm,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,185,200,185,185,Active,,
7LCC005,Cryovials,PATHOLOGY,OTHERS,0,Pieces,Pieces,Cryovials,Cryovials,SANOFI PASTEUR,N/A,Lab Consumables,,,,,1,,Pathology,25,0,25,25,Active,,
7LCC006,Culture plates,PATHOLOGY,OTHERS,0,Pieces,Pieces,Culture plates,Culture plates,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,13,0,13,13,Active,,
7LCC006b,Culture plates glass,PATHOLOGY,OTHERS,0,Pieces,Pieces,Culture plates glass,Culture plates glass,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCC006C,CULTURE PLATES 150*15mm,PATHOLOGY,OTHERS,0,Pieces,Pieces,CULTURE PLATES 150*15mm,CULTURE PLATES 150*15mm,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCD001,"Disinfectant,johnsons",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Disinfectant,johnsons","Disinfectant,johnsons",NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,81.3,0,81.3,81.3,Inactive,,
7LCF002a,Filter paper 185mm diameter,PATHOLOGY,OTHERS,0,Pieces,Pieces,Filter paper 185mm diameter,Filter paper 185mm diameter,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCG00-1,Gauze Absorbent,PATHOLOGY,Consumables,0,Pieces,Pieces,Gauze Absorbent,Gauze Absorbent,GLAXOSMITHKLINE,N/A,Lab Consumables,,,,,1,,Pathology,600,600,600,600,Active,,
7LCG001,"Gauze, absorbent BP quality",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Gauze, absorbent BP quality","Gauze, absorbent BP quality",SANOFI PASTEUR,N/A,Unknown,Gauze roll,,,,1,,Surgical,100,700,100,100,Inactive,,
7LCG002A,Gloves Large,SURGICALS,OTHERS,0,Box,Box,Gloves Large,Gloves Large,SANOFI PASTEUR,N/A,Lab Consumables,Examination Gloves,,,,1,GLAXOSMITHKLINE,Pathology,0,5,0,0,Active,,
7LCG002B,Gloves Medium,SURGICALS,OTHERS,0,Box,Box,Gloves Medium,Gloves Medium,SANOFI PASTEUR,N/A,Accesories,Examination Gloves,,,,1,,Surgical,280,1095,280,280,Active,,
7LCG002C,Gloves- Small,PATHOLOGY,OTHERS,0,Pieces,Pieces,Gloves- Small,Gloves- Small,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7LCG003,Grease pencil,PATHOLOGY,OTHERS,0,Pieces,Pieces,Grease pencil,Grease pencil,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCI001,Immersion oil (100ml),PATHOLOGY,OTHERS,0,Pieces,Pieces,Immersion oil (100ml),Immersion oil (100ml),GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCI002,Immersion oil (500ml),PATHOLOGY,OTHERS,0,Pieces,Pieces,Immersion oil (500ml),Immersion oil (500ml),NJIMIA PHARMACEUTICALS,N/A,Lab-reagent,,,,,1,,Pathology,9,0,9,9,Active,,
7LCL001,Laboratory register books,PATHOLOGY,OTHERS,0,Pieces,Pieces,Laboratory register books,Laboratory register books,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCL004,Lens cleansing tissue,PATHOLOGY,OTHERS,0,Pieces,Pieces,Lens cleansing tissue,Lens cleansing tissue,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCL005,Lysol 12%,PATHOLOGY,OTHERS,0,Pieces,Pieces,Lysol 12%,Lysol 12%,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,480,0,480,480,Inactive,,
7LCM002,"Microscope slides, frosted end",PATHOLOGY,OTHERS,0,Packet,Packet,"Microscope slides, frosted end","Microscope slides, frosted end",SANOFI PASTEUR,N/A,Unknown,,,,,100,,Pathology,170,0,170,170,Active,,
7LCM003,Multistix - Urine Strips,PATHOLOGY,OTHERS,0,Packet,Packet,Multistix - Urine Strips,Multistix - Urine Strips,SANOFI PASTEUR,N/A,Lab-reagent,,,,,1,,Laboratory,900,0,900,900,Active,,
7LCM004A,Methylated spirit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Methylated spirit,Methylated spirit,GLAXOSMITHKLINE,N/A,Lab-reagent,,,,,1,,Pathology,900,0,900,900,Active,,
7LCM005A,Microtitre wells-U shaped,PATHOLOGY,OTHERS,0,Pieces,Pieces,Microtitre wells-U shaped,Microtitre wells-U shaped,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7LCN001A,Needles 21G,PATHOLOGY,OTHERS,0,Pieces,Pieces,Needles 21G,Needles 21G,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1.6,5,1.6,1.6,Inactive,,
7LCN001B,Needles 23 G,PATHOLOGY,OTHERS,0,Pieces,Pieces,Needles 23 G,Needles 23 G,NJIMIA PHARMACEUTICALS,N/A,Lab Consumables,,,,,1,,Pathology,200,0,200,200,Inactive,,
7LCP001,Parafilm,PATHOLOGY,OTHERS,0,Pieces,Pieces,Parafilm,Parafilm,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,4500,0,4500,4500,Active,,
7LCP002,Pasteur pipettes 3ml,PATHOLOGY,OTHERS,0,Pieces,Pieces,Pasteur pipettes 3ml,Pasteur pipettes 3ml,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,480,0,480,480,Active,,
7LCS001a,"Slide mailers,cardboad",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Slide mailers,cardboad","Slide mailers,cardboad",SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCS001b,"slide mailers,cardboad 2slides",PATHOLOGY,OTHERS,0,Pieces,Pieces,"slide mailers,cardboad 2slides","slide mailers,cardboad 2slides",SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCS003A,Syringes 10ml,PATHOLOGY,OTHERS,0,Pieces,Pieces,Syringes 10ml,Syringes 10ml,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,391,0,391,391,Active,,
7LCS003B,Syringes 2ml,PATHOLOGY,OTHERS,0,Pieces,Pieces,Syringes 2ml,Syringes 2ml,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,208,0,208,208,Active,,
7LCU001,Uristix,PATHOLOGY,OTHERS,0,Pieces,Pieces,Uristix,Uristix,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LCV001,"Vacutainer, plain",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Vacutainer, plain","Vacutainer, plain",GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1050,1200,1050,1050,Active,,
7LCV002,VENT SELECTIVE SUPPLEMENTS,PATHOLOGY,OTHERS,0,Pieces,Pieces,VENT SELECTIVE SUPPLEMENTS,VENT SELECTIVE SUPPLEMENTS,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRA001,Acetone,PATHOLOGY,OTHERS,0,Pieces,Pieces,Acetone,Acetone,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,900,1000,900,900,Active,,
7LRB001,Basic fuschin,PATHOLOGY,OTHERS,0,Pieces,Pieces,Basic fuschin,Basic fuschin,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,313,0,313,313,Active,,
7LRB002,Beta macapto ethanol,PATHOLOGY,OTHERS,0,Pieces,Pieces,Beta macapto ethanol,Beta macapto ethanol,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,480,0,480,480,Active,,
7LRB003A,Brilliant cresyl blue 5g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Brilliant cresyl blue 5g,Brilliant cresyl blue 5g,SANOFI PASTEUR,N/A,Lab-reagent,,,,,1,,Pathology,0,0,0,0,Active,,
7LRB003b,Brilliant cresyl blue 25g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Brilliant cresyl blue 25g,Brilliant cresyl blue 25g,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRC002,Crystal violet crystals,PATHOLOGY,OTHERS,0,Pieces,Pieces,Crystal violet crystals,Crystal violet crystals,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1560,0,1560,1560,Active,,
7LRE001,Eosin yellow,PATHOLOGY,OTHERS,,Pieces,Pieces,Eosin yellow,Eosin yellow,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,200,0,200,200,Inactive,,
7LRE002,Ethanol,PATHOLOGY,OTHERS,0,Pieces,Pieces,Ethanol,Ethanol,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,2500,0,2500,2500,Inactive,,
7LRF001,Field stain A,PATHOLOGY,OTHERS,0,Pieces,Pieces,Field stain A,Field stain A,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,165,0,165,165,Active,,
7LRF002,Field stain B,PATHOLOGY,OTHERS,0,Pieces,Pieces,Field stain B,Field stain B,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRF003A,Formalin 40% 2.5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Formalin 40% 2.5L,Formalin 40% 2.5L,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1239,0,1239,1239,Active,,
7LRF003B,Formalin 40% 5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Formalin 40% 5L,Formalin 40% 5L,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,1239,0,1239,1239,Active,,
7LRG001,Gentian violet crystals,PATHOLOGY,OTHERS,0,Pieces,Pieces,Gentian violet crystals,Gentian violet crystals,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,179,0,179,179,Active,,
7LRG002A,Glacial acetic acid 500ML,PATHOLOGY,OTHERS,0,Pieces,Pieces,Glacial acetic acid 500ML,Glacial acetic acid 500ML,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,372,0,372,372,Active,,
7LRG002B,Glacial acetic acid 2.5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Glacial acetic acid 2.5L,Glacial acetic acid 2.5L,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1260,0,1260,1260,Active,,
7LRG003,Glycerol 2.5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Glycerol 2.5L,Glycerol 2.5L,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1312.5,0,1312.5,1312.5,Active,,
7LRH001,Heparine tubes,PATHOLOGY,OTHERS,0,Pieces,Pieces,Heparine tubes,Heparine tubes,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1485,0,1485,1485,Inactive,,
7LRH002,K2EDTA TUBES(100 PCS),PATHOLOGY,OTHERS,0,Pieces,Pieces,K2EDTA TUBES(100 PCS),K2EDTA TUBES(100 PCS),NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,0,,Pathology,0,0,0,0,Active,,
7LRH002A,K2EDTA TUBES 50 Pcs,PATHOLOGY,OTHERS,0,Pieces,Pieces,K2EDTA TUBES 50 Pcs,K2EDTA TUBES 50 Pcs,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7LRH003,Hydrogen peroxide 2.5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Hydrogen peroxide 2.5L,Hydrogen peroxide 2.5L,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,473.1,0,473.1,473.1,Active,,
7LRI001,Iodine,PATHOLOGY,OTHERS,0,Pieces,Pieces,Iodine,Iodine,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,6441,0,6441,6441,Active,,
7LRK001,K2EDTA (GPR) powder 100G,PATHOLOGY,OTHERS,0,Pieces,Pieces,K2EDTA (GPR) powder 100G,K2EDTA (GPR) powder 100G,SANOFI PASTEUR,N/A,Unknown,,,,,0,,Pathology,0,0,0,0,Active,,
7LRK001,"Vacutainer, floride",PATHOLOGY,OTHERS,0,Pieces,Pieces,"Vacutainer, floride","Vacutainer, floride",SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,1036,0,1036,1036,Active,,
7LRK001A,K2EDTA (GPR) powder 500G,PATHOLOGY,OTHERS,0,Pieces,Pieces,K2EDTA (GPR) powder 500G,K2EDTA (GPR) powder 500G,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,5021,0,5021,5021,Inactive,,
7LRK002,K3EDTA tubes (100pcs),PATHOLOGY,OTHERS,0,Packet,Packet,K3EDTA tubes (100pcs),K3EDTA tubes (100pcs),GLAXOSMITHKLINE,N/A,Lab Consumables,,,,,1,,Pathology,1200,0,1200,1200,Active,,
7LRK002B,K2EDTA Powder 100g,PATHOLOGY,OTHERS,0,Pieces,Pieces,K2EDTA Powder 100g,K2EDTA Powder 100g,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7LRM001,Malchite green powder,PATHOLOGY,OTHERS,100,Pieces,Pieces,Malchite green powder,Malchite green powder,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,299,0,299,299,Inactive,,
7LRM002,Methanol 2.5L,PATHOLOGY,OTHERS,0,Pieces,Pieces,Methanol 2.5L,Methanol 2.5L,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,800,0,800,800,Active,,
7LRM003,Methylene blue 25g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Methylene blue 25g,Methylene blue 25g,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,500,0,500,500,Active,,
7LRP001,Phenol crystals 500g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Phenol crystals 500g,Phenol crystals 500g,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,2081,0,2081,2081,Active,,
7LRP002,Potassium cyanide 500g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Potassium cyanide 500g,Potassium cyanide 500g,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRP004,Potassium fericyanide 500g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Potassium fericyanide 500g,Potassium fericyanide 500g,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,2545.5,0,2545.5,2545.5,Active,,
7LRP004A,Potassium iodide,PATHOLOGY,OTHERS,0,Pieces,Pieces,Potassium iodide,Potassium iodide,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRP005,Potassium hydroxide 500g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Potassium hydroxide 500g,Potassium hydroxide 500g,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1378,0,1378,1378,Active,,
7LRS001,Sodium azide 500g,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium azide 500g,Sodium azide 500g,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,9754,0,9754,9754,Active,,
7LRS001A,Sodium Azide 100gm,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium Azide 100gm,Sodium Azide 100gm,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,1951,0,1951,1951,Active,,
7LRS002,Sodium biselenite,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium biselenite,Sodium biselenite,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,4400,0,4400,4400,Active,,
7LRS003,Sodium chloride,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium chloride,Sodium chloride,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,763.6,0,763.6,763.6,Active,,
7LRS004,Sodium hydrogen carbonate,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium hydrogen carbonate,Sodium hydrogen carbonate,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7LRS005,Sodium hydroxide pellets,PATHOLOGY,OTHERS,0,Pieces,Pieces,Sodium hydroxide pellets,Sodium hydroxide pellets,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,377.3,0,377.3,377.3,Active,,
